Radius (A°),Coil diameter (A°),Pitch angle (deg),Pitch length (A°),Number of turns,Total length (A°),Yield stress (GPa),Failure strain,Toughness (GPa)
3.922600024,5.905261035,58.74540543,40.60870497,6.278351241,254.9557132,38.04908496,0.13488685,1.961450192
8.861087461,15.01904844,46.68492248,59.05064052,4.60105704,271.6953653,15.7686771,0.254634338,1.961975717
7.949315464,12.99365575,52.74978045,65.68314607,3.207119179,210.6536775,13.95396567,0.255541718,1.963235304
6.411614994,12.4276422,52.60728491,52.70495719,5.253255529,276.8726078,21.04683435,0.225099379,1.964609929
4.842128406,4.31020757,47.5162674,33.22089024,6.157033931,204.5421484,33.28817281,0.125332232,1.966881679
11.18943575,16.90847033,41.93034756,63.14858545,4.209434013,265.8198035,12.81649403,0.355264105,1.972746423
15.14328375,13.270803,23.41398998,41.2018273,2.762873543,113.8354386,6.410136668,0.571028057,1.97607559
2.697141361,5.06387804,61.91460801,31.75771926,8.215857256,260.9168882,33.35158036,0.139973345,1.983826481
2.765710068,2.607606408,50.16251574,20.82936146,8.427253144,175.5343019,39.99490393,0.094745025,1.984563944
5.262410098,5.460212067,51.40989392,41.43410401,5.049949688,209.2401406,34.50403325,0.10503115,1.987604135
3.700075296,3.299077422,51.53400553,29.26269906,7.054370597,206.4299238,43.67390288,0.08465876,1.987661764
8.285208375,7.942766807,63.51453588,104.4775605,1.833681666,191.5785872,19.88251368,0.179253285,1.988469002
4.922589744,3.627262883,61.69892661,57.43981807,4.393577437,252.3662887,38.41579736,0.084939653,1.991702842
5.762653389,8.114320781,64.20396742,74.91270886,1.451055066,108.7024657,30.54790312,0.159986262,1.994824064
3.705270893,3.094693881,61.75175736,43.33105622,3.336022613,144.5533834,43.35763425,0.085741659,1.99938501
4.68490593,4.136144703,38.11305227,23.09170622,9.371565998,216.4054488,22.12410716,0.174586122,2.00146033
2.863634238,3.652477773,56.39053026,27.07154943,6.957382493,188.3471241,31.20835132,0.135012369,2.004410581
3.951386673,6.311100713,61.08577986,44.94819654,2.481210292,111.5259278,34.44997582,0.114507068,2.004801103
3.078896389,2.760450279,62.02340336,36.41905304,5.951756624,216.7573402,42.77561117,0.089885076,2.005360558
9.817197274,9.134537436,37.42020086,47.19489037,2.027155415,95.67137756,14.24308543,0.0610987,2.010014421
7.750855645,4.078557276,23.50313386,21.17855714,0.870224975,18.43010935,7.114669698,0.439687501,2.015656357
9.071280741,15.68548288,46.3224992,59.69037969,4.392478069,262.1886837,15.86027881,0.385001303,2.016805636
3.638014226,2.749209042,47.24260371,24.72158549,3.169371607,78.35189114,29.88167453,0.112620794,2.020611683
3.619175659,3.875008157,47.39769528,24.72751488,5.910314199,146.1473823,30.80454092,0.161071691,2.021613159
15.29379521,17.9611161,34.34502761,65.66143012,3.082230841,202.383685,7.927391991,0.387125986,2.025615899
2.738722471,2.529995746,61.26279225,31.38247476,6.8968628,216.4406227,41.87857884,0.089838876,2.027527213
4.523673512,3.177817534,56.74321816,43.34121103,4.868210796,210.9941514,41.51309507,0.094978483,2.031966045
3.314050827,2.41023883,37.76760749,16.13296864,8.783798479,141.7087454,33.76093204,0.140161443,2.0401051
4.267673489,3.253945754,41.14543378,23.42932238,7.885696344,184.7565218,34.13224012,0.13469093,2.041678768
6.101588859,9.011389404,59.22415944,64.37330892,3.411760134,219.6262891,31.02201277,0.224798417,2.043586096
14.65285016,5.740769643,13.15355926,21.51530539,1,21.51530539,6.303728904,0.516739438,2.046511308
